"nuc_id","nuc","nuc_group","transition_id","calcurve","level","repl_calcurve","date","median_intensity","cv"
"nuc17","dADP","ng_04","t1","A",10,1,"20181217",142216,"6.6%"
"nuc17","dADP","ng_04","t2","A",10,1,"20181217",36902,"6.6%"
"nuc17","dADP","ng_04","t12","A",10,1,"20181217",179406,"6.4%"
"nuc18","ADP","ng_04","t1","A",10,1,"20181217",324019,"4.9%"
"nuc18","ADP","ng_04","t2","A",10,1,"20181217",474864,"5%"
"nuc18","ADP","ng_04","t12","A",10,1,"20181217",801953,"4.8%"
"nuc19","dGDP","ng_05","t1","A",10,1,"20181217",495693,"4.3%"
"nuc19","dGDP","ng_05","t2","A",10,1,"20181217",32837,"4.5%"
"nuc19","dGDP","ng_05","t12","A",10,1,"20181217",528394,"4.2%"
"nuc20","GDP","ng_05","t1","A",10,1,"20181217",168208,"4.6%"
"nuc20","GDP","ng_05","t2","A",10,1,"20181217",263394,"4.5%"
"nuc20","GDP","ng_05","t12","A",10,1,"20181217",431804,"4.4%"
"nuc21","dCTP","ng_01","t1","A",10,1,"20181217",243296,"3.1%"
"nuc21","dCTP","ng_01","t2","A",10,1,"20181217",44794,"3%"
"nuc21","dCTP","ng_01","t12","A",10,1,"20181217",288472,"2.9%"
"nuc22","dTTP","ng_03","t1","A",10,1,"20181217",1051640,"2.5%"
"nuc22","dTTP","ng_03","t2","A",10,1,"20181217",69282,"3.3%"
"nuc22","dTTP","ng_03","t12","A",10,1,"20181217",1120107,"2.4%"
"nuc23","CTP","ng_01","t1","A",10,1,"20181217",299604,"2.9%"
"nuc23","CTP","ng_01","t2","A",10,1,"20181217",238424,"3.5%"
"nuc23","CTP","ng_01","t12","A",10,1,"20181217",536409,"2.9%"
"nuc24","UTP","ng_02","t1","A",10,1,"20181217",323793,"2.8%"
"nuc24","UTP","ng_02","t2","A",10,1,"20181217",77288,"3.1%"
"nuc24","UTP","ng_02","t12","A",10,1,"20181217",401108,"2.7%"
"nuc25","dATP","ng_04","t1","A",10,1,"20181217",624282,"2.8%"
"nuc25","dATP","ng_04","t2","A",10,1,"20181217",88877,"3.3%"
"nuc25","dATP","ng_04","t12","A",10,1,"20181217",713510,"2.7%"
"nuc26","ATP","ng_04","t1","A",10,1,"20181217",964687,"2.8%"
"nuc26","ATP","ng_04","t2","A",10,1,"20181217",877585,"3%"
"nuc26","ATP","ng_04","t12","A",10,1,"20181217",1835696,"2.8%"
"nuc27","dGTP","ng_05","t1","A",10,1,"20181217",844217,"2.4%"
"nuc27","dGTP","ng_05","t2","A",10,1,"20181217",73960,"3.6%"
"nuc27","dGTP","ng_05","t12","A",10,1,"20181217",916061,"2.4%"
"nuc28","GTP","ng_05","t1","A",10,1,"20181217",506,"25.6%"
"nuc28","GTP","ng_05","t2","A",10,1,"20181217",197,"45.2%"
"nuc28","GTP","ng_05","t12","A",10,1,"20181217",721,"20.6%"
"nuc29","UDP-Glc","ng_06","t1","A",10,1,"20181217",770,"22.1%"
"nuc29","UDP-Glc","ng_06","t2","A",10,1,"20181217",11016,"5.2%"
"nuc29","UDP-Glc","ng_06","t12","A",10,1,"20181217",11740,"5.4%"
"nuc30","GDP-Man","ng_06","t1","A",10,1,"20181217",4631,"9.4%"
"nuc30","GDP-Man","ng_06","t2","A",10,1,"20181217",8582,"7.5%"
"nuc30","GDP-Man","ng_06","t12","A",10,1,"20181217",13314,"6.4%"
"nuc31","UDP-GNAc","ng_06","t1","A",10,1,"20181217",2298,"11.9%"
"nuc31","UDP-GNAc","ng_06","t2","A",10,1,"20181217",4340,"10%"
"nuc31","UDP-GNAc","ng_06","t12","A",10,1,"20181217",6577,"7.7%"
"nuc32","NAD+","ng_07","t1","A",10,1,"20181217",1040,"17%"
"nuc32","NAD+","ng_07","t2","A",10,1,"20181217",7809,"8.4%"
"nuc32","NAD+","ng_07","t12","A",10,1,"20181217",8859,"7.5%"
"nuc33","NADH","ng_07","t1","A",10,1,"20181217",23856,"4.7%"
"nuc33","NADH","ng_07","t2","A",10,1,"20181217",23201,"5%"
"nuc33","NADH","ng_07","t12","A",10,1,"20181217",47004,"3.8%"
"nuc34","NADP+","ng_07","t1","A",10,1,"20181217",36988,"3.7%"
